Year,Sugar
12-01-2013,0.592
01-01-2014,0.628
02-01-2014,0.615
03-01-2014,0.604
04-01-2014,0.599
05-01-2014,0.607
06-01-2014,0.610
07-01-2014,0.596
08-01-2014,0.599
09-01-2014,0.608
10-01-2014,0.616
11-01-2014,0.612
12-01-2014,0.614
01-01-2015,0.644
02-01-2015,0.659
03-01-2015,0.660
04-01-2015,0.663
05-01-2015,0.660
06-01-2015,0.646
07-01-2015,0.656
08-01-2015,0.654
09-01-2015,0.656
10-01-2015,0.662
11-01-2015,0.641
12-01-2015,0.642
01-01-2016,0.662
02-01-2016,0.648
03-01-2016,0.632
04-01-2016,0.655
05-01-2016,0.651
06-01-2016,0.641
07-01-2016,0.646
08-01-2016,0.653
09-01-2016,0.653
10-01-2016,0.630
11-01-2016,0.618
12-01-2016,0.614
01-01-2017,0.632
02-01-2017,0.637
03-01-2017,0.631
04-01-2017,0.628
05-01-2017,0.647
06-01-2017,0.659
07-01-2017,0.659
08-01-2017,0.658
09-01-2017,0.670
10-01-2017,0.664
11-01-2017,0.640
12-01-2017,0.646
01-01-2018,0.623
02-01-2018,0.622
03-01-2018,0.612
04-01-2018,0.617
05-01-2018,0.628
06-01-2018,0.629
07-01-2018,0.630
08-01-2018,0.628
09-01-2018,0.629
10-01-2018,0.602
11-01-2018,0.602
12-01-2018,0.573
01-01-2019,0.595
02-01-2019,0.592
03-01-2019,0.596
04-01-2019,0.591
05-01-2019,0.580
06-01-2019,0.586
07-01-2019,0.589
08-01-2019,0.589
09-01-2019,0.596
10-01-2019,0.589
11-01-2019,0.589
12-01-2019,0.589
01-01-2020,0.603
02-01-2020,0.612
03-01-2020,0.621
04-01-2020,0.640
05-01-2020,0.647
06-01-2020,0.626
07-01-2020,0.627
08-01-2020,0.629
09-01-2020,0.630
10-01-2020,0.634
11-01-2020,0.660
12-01-2020,0.674
01-01-2021,0.682
02-01-2021,0.680
03-01-2021,0.675
04-01-2021,0.675
05-01-2021,0.675
06-01-2021,0.675
07-01-2021,0.686
08-01-2021,0.681
09-01-2021,0.688
10-01-2021,0.713
11-01-2021,0.687
12-01-2021,0.691
01-01-2022,0.706
02-01-2022,0.718
03-01-2022,0.739
04-01-2022,0.740
05-01-2022,0.745
