Year,Prescription
04-01-2021,523.876
05-01-2021,522.116
06-01-2021,519.861
07-01-2021,519.957
08-01-2021,519.729
09-01-2021,521.506
10-01-2021,523.862
11-01-2021,524.509
12-01-2021,525.251
01-01-2022,532.044
02-01-2022,533.592
03-01-2022,532.722
04-01-2022,532.975
05-01-2022,532.195
07-01-2019,524.829
08-01-2019,526.629
09-01-2019,522.518
10-01-2019,529.635
11-01-2019,528.285
12-01-2019,537.946
01-01-2020,538.154
02-01-2020,535.548
03-01-2020,533.885
04-01-2020,533.767
05-01-2020,533.325
06-01-2020,533.460
07-01-2020,533.551
08-01-2020,534.254
09-01-2020,529.966
10-01-2020,527.649
11-01-2020,526.167
12-01-2020,525.244
01-01-2021,525.434
02-01-2021,521.231
03-01-2021,521.375
04-01-2021,523.876
05-01-2021,522.116
06-01-2021,519.861
07-01-2021,519.957
08-01-2021,519.729
09-01-2021,521.506
10-01-2021,523.862
11-01-2021,524.509
12-01-2021,525.251
01-01-2022,532.044
02-01-2022,533.592
03-01-2022,532.722
04-01-2022,532.975
05-01-2022,532.195
